FID,OBJECTID,NAME,ADMIN_ORG,REGION,STATE,COMMENTS,NO_MAP,LABELS,URL,LATITUDE,LONGITUDE,x,y
66,76,Quandamooka Rangers,Quandamooka Yoolooburrabee Aboriginal Corporation,Qld - Mainland southern region,QLD,Added August 2016,32,32 Quandamooka Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/quandamooka-rangers,-27.49883,153.4028,17076721.5822424,-3185933.39960733
67,77,Jahnala Yenbalehla Rangers,Minyumai Land Holding Aboriginal Corporation,NSW,NSW,Added 2018,3,3 Jahnala Yenbalehla Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-protected-areas/minyumai-ipa-and-jahnala-yenbalehla-rangers,-29.1850361,153.3495944,17070798.7619365,-3399218.13024379
68,78,Worimi Green Team Rangers,Worimi Local Aboriginal Land Council,NSW,NSW,Added 2017. Run by the Worimi Local Aboriginal Land Council,6,6 Worimi Green Team Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/worimi-green-team,-32.806665,151.86725,16905784.9381956,-3869670.00292337
69,128,milythina pakana Rangers (3 groups incl. 1a & 1b),Aboriginal Land Council of Tasmania,TAS,TAS,"Note: Three groups, Previously Tasmanian Aboriginal Centre Rangers - milaythina pakana",1,1 milythina pakana Rangers (3 groups incl. 1a & 1b),https://www.niaa.gov.au/tasmanian-aboriginal-trainee-rangers,-42.810464,147.327684,16400442.7626675,-5283166.88840246
70,79,Yawoorroong Miriuwung Gajerrong Rangers,Yawoorroong Miriuwang Gajerrong Yirrgeb Noong Dawang Aboriginal Corporation,WA - Kimberley region,WA, ,1,1 Yawoorroong Miriuwung Gajerrong Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/miriuwung-gajerrong-rangers,-15.77273,128.7396,14331226.7169008,-1778418.51432879
71,80,Githabul Rangers,Border Rangers Contractors Pty Ltd,NSW,NSW, ,1,1 Githabul Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/githabul-rangers,-28.6255,153.0118,17033195.6613811,-3328066.37912362
72,81,Muru-warinyi Ankkul Rangers,Central Land Council,NT - Central Australian region,NT,Previously Maru-Warinyi Ankkul Rangers,3,3 Muru-warinyi Ankkul Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/muru-warinyi-ankkul-rangers,-19.6478,134.1902,14937984.7334843,-2231354.34483934
73,82,Mandingalbay Yidinji Rangers,Djunbunji Limited,Qld - Mainland northern region,QLD,Previously Djunbunji,10,10 Mandingalbay Yidinji Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/mandingalbay-yidinji-ipa-and-rangers,-16.90333,145.81223,16231743.1950556,-1909574.98054382
74,83,North Tanami Rangers,Central Land Council,NT - Central Australian region,NT,Previously Wulaign,8,8 North Tanami Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/northern-tanami-ipa-and-north-tanami-rangers,-18.33584,130.63834,14542593.4868664,-2076895.73157011
75,84,Ngulingah Aboriginal Rangers,Ngulingah Local Aboriginal Land Council,NSW,NSW,Previously Nimbin Rocks Rangers,2,2 Ngulingah Aboriginal Rangers,https://www.niaa.gov.au/ngulingah-nimbin-rock-rangers,-28.6152,153.2012,17054279.5729385,-3326760.18873548
76,85,Li-Anthawirriyarra Sea Rangers,Mabunji Aboriginal Resource Association,NT - Arnhem Land region,NT, ,15,15 Li-Anthawirriyarra Sea Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/yanyuwa-ipa-and-li-anthawirriuarra-sea-rangers,-16.0697,136.3086,15173803.9427652,-1812795.82697303
77,129,Warburton Women Rangers,Desert Support Services,WA - Central and Southern region,WA, ,16,16 Warburton Women Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/western-desert-martu-ranger-programme,-26.131486,126.577936,14090591.3812221,-3015375.18248497
